lon,lat,dist_costa_km,r_droga,r_pesca,r_poluicao,r_imigracao,ais_embarcacoes,ais_rotas
-10.700000000000001,41.45000000000007,163.08518771946214,0.00106,0.03373,0.09217,0.0,0.09186,0.88026
-10.700000000000001,41.55000000000007,160.28727133577513,0.00088,0.01978,0.08669,0.0,0.08616,0.88003
-10.700000000000001,41.65000000000007,158.21432438488156,0.00071,0.01019,0.08134,0.0,0.08102,0.87967
-10.700000000000001,41.75000000000007,156.89508506763585,0.00055,0.0044,0.07741,0.0,0.07679,0.87913
-10.700000000000001,41.85000000000007,156.348633462902,0.00042,0.00155,0.07406,0.0,0.07425,0.8785
-10.700000000000001,41.950000000000074,156.5830605224367,0.00031,0.00045,0.07241,0.0,0.07392,0.87801
-10.700000000000001,42.050000000000075,157.59488154425975,0.00022,0.00011,0.07197,0.0,0.07523,0.87775
-10.700000000000001,42.15000000000008,159.36929040704638,0.00015,2e-05,0.07101,0.0,0.07705,0.87763
-10.600000000000001,36.85,139.71947007008762,0.53421,0.0002,0.05776,0.0014,0.06248,0.77716
-10.600000000000001,36.95,138.5771931823203,0.52285,0.00041,0.05493,0.00163,0.05845,0.76646
-10.600000000000001,37.050000000000004,138.31225113284114,0.50814,0.00075,0.05114,0.00186,0.05567,0.75564
-10.600000000000001,37.150000000000006,138.92966330520682,0.49043,0.00114,0.04902,0.0021,0.05487,0.7478
-10.600000000000001,37.25000000000001,140.41779113873758,0.47015,0.00146,0.05074,0.00233,0.05548,0.74581
-10.600000000000001,37.35000000000001,142.61944854829056,0.4478,0.00172,0.055,0.00257,0.05628,0.74975
-10.600000000000001,37.45000000000001,144.90078338784053,0.42392,0.00211,0.05977,0.00281,0.05677,0.7568
-10.600000000000001,37.55000000000001,147.1821182273907,0.39907,0.0029,0.0654,0.00304,0.05789,0.76377
-10.600000000000001,37.65000000000001,149.46345306694064,0.3738,0.00407,0.0728,0.00326,0.06064,0.76898
-10.600000000000001,37.750000000000014,141.62915825633272,0.34862,0.00555,0.08098,0.00344,0.06423,0.77239
-10.600000000000001,37.850000000000016,133.72539766876537,0.32395,0.00799,0.0883,0.00356,0.06665,0.77501
-10.600000000000001,37.95000000000002,126.29599235312804,0.30007,0.01292,0.09175,0.00361,0.06754,0.77832
-10.600000000000001,38.05000000000002,119.429500445968,0.27717,0.02105,0.08873,0.00357,0.06927,0.78381
-10.600000000000001,38.15000000000002,113.22837832719077,0.25526,0.02978,0.08425,0.00344,0.07496,0.79239
-10.600000000000001,38.25000000000002,107.8075040521648,0.23426,0.03518,0.08558,0.00322,0.0859,0.80369
-10.600000000000001,38.35000000000002,103.28979809656681,0.21401,0.03792,0.09229,0.00292,0.1012,0.81586
-10.600000000000001,38.450000000000024,99.79799116826736,0.19434,0.04295,0.10165,0.00257,0.1199,0.82659
-10.600000000000001,38.550000000000026,97.44243367821667,0.1751,0.05381,0.11626,0.00219,0.14198,0.83454
-10.600000000000001,38.65000000000003,96.30653617779906,0.15627,0.06864,0.13713,0.00181,0.16635,0.83984
-10.600000000000001,38.75000000000003,96.43340774605966,0.13792,0.08246,0.15732,0.00145,0.18957,0.84346
-10.600000000000001,38.85000000000003,97.8181350159054,0.12022,0.09214,0.16791,0.00112,0.20826,0.84614
-10.600000000000001,38.95000000000003,100.40869054012191,0.10344,0.09782,0.16867,0.00084,0.22206,0.84813
-10.600000000000001,39.05000000000003,104.11510420440494,0.08786,0.10046,0.16885,0.00061,0.23249,0.84931
-10.600000000000001,39.150000000000034,108.8194963395166,0.07373,0.09962,0.17344,0.00043,0.23883,0.84949
